Disease;Description;Precaution_1;Precaution_2;Precaution_3;Precaution_4;Enfermedad;Descripcion;Precaucion_1;Precaucion_2;Precaucion_3;Precaucion_4;Precaucion_5
Typhoid;An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.;eat high calorie vegitables;antiboitic therapy;consult doctor;medication;Tifoidea;La fiebre tifoidea es una enfermedad aguda caracterizada por fiebre causada por la infección con la bacteria Salmonella typhi. La fiebre tifoidea tiene un inicio insidioso, con fiebre, dolor de cabeza, estreñimiento, malestar, escalofríos y dolor muscular. La diarrea es poco común, y los vómitos generalmente no son graves.;Vacunarse antes de viajar: Aplicarse la vacuna contra la fiebre tifoidea si se va a visitar áreas donde la enfermedad es común.;Beber solo agua potable: Asegurarse de consumir agua segura, ya sea embotellada o hervida, para evitar el contagio de la fiebre tifoidea.;Seguir el tratamiento con antibióticos: Tomar los antibióticos recetados durante el tiempo indicado para eliminar la infección y evitar complicaciones.;Mantener una buena higiene de manos: Lavar las manos antes de comer y después de ir al baño para prevenir la propagación de la fiebre tifoidea.;Evitar alimentos crudos o mal cocidos: Consumir solo alimentos bien cocidos para reducir el riesgo de contagio de la fiebre tifoidea.
Hepatitis B;Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.;consult nearest hospital;vaccination;eat healthy;medication;Hepatitis B;La hepatitis B es una infección del hígado. Puede causar cicatrización del órgano, insuficiencia hepática y cáncer. Puede ser fatal si no se trata. Se transmite cuando las personas entran en contacto con la sangre, llagas abiertas o fluidos corporales de alguien que tiene el virus de la hepatitis B.;Vacunarse contra la hepatitis B: Recibir la vacuna para prevenir la infección, especialmente si se tiene mayor riesgo de exposición.;Evitar compartir objetos personales: No compartir agujas, cepillos de dientes u otros artículos que puedan estar contaminados con el virus.;Monitorear la función hepática: Realizar pruebas periódicas para evaluar el estado del hígado y detectar posibles complicaciones.;Evitar el consumo de alcohol: No consumir alcohol, ya que puede empeorar el daño hepático en personas infectadas con hepatitis B.;Seguir el tratamiento médico indicado: Tomar los medicamentos recetados y seguir las recomendaciones del médico para evitar complicaciones hepáticas.
Fungal infection;In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.;bath twice;use detol or neem in bathing water;keep infected area dry;use clean cloths;Infección por hongos;En los seres humanos, las infecciones fúngicas ocurren cuando un hongo invasor se apodera de un área del cuerpo y es demasiado para que el sistema inmunológico lo controle. Los hongos pueden vivir en el aire, el suelo, el agua y las plantas. También hay algunos hongos que viven de manera natural en el cuerpo humano. Al igual que muchos microbios, existen hongos beneficiosos y hongos dañinos.;Mantener el área afectada seca: Asegurarse de secar bien las áreas propensas a infecciones fúngicas, como los pies y las axilas, para evitar el crecimiento del hongo.;Usar ropa suelta y transpirable: Utilizar prendas de algodón para permitir la ventilación y reducir la humedad en las áreas afectadas.;Aplicar tratamientos antimicóticos: Usar cremas o polvos antimicóticos según lo indicado para tratar la infección y prevenir su propagación.;Evitar compartir artículos personales: No compartir toallas, ropa o zapatos para reducir el riesgo de transmisión de infecciones fúngicas.;Mantener una buena higiene: Lavar las áreas afectadas con agua y jabón suave para prevenir infecciones secundarias.
Hepatitis C;Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.;Consult nearest hospital;vaccination;eat healthy;medication;Hepatitis C;La hepatitis C es una inflamación del hígado causada por el virus de la hepatitis C (VHC), que generalmente se transmite a través de transfusiones de sangre (raras), hemodiálisis y pinchazos con agujas. El daño que la hepatitis C causa al hígado puede llevar a la cirrosis y sus complicaciones, así como al cáncer.;Evitar el consumo de alcohol: No consumir alcohol, ya que puede empeorar el daño hepático y dificultar la recuperación.;Seguir el tratamiento antiviral: Tomar medicamentos antivirales según lo indicado por el médico para controlar el virus y reducir la progresión de la enfermedad.;Vacunarse contra la hepatitis A y B: Recibir las vacunas para prevenir infecciones adicionales que podrían agravar la condición del hígado.;Evitar compartir agujas o jeringas: No compartir equipos de inyección para prevenir la transmisión del virus de hepatitis C.;Monitorear la función hepática regularmente: Realizar análisis de sangre periódicos para evaluar la función hepática y ajustar el tratamiento según los resultados.
Migraine;A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.;meditation;reduce stress;use poloroid glasses in sun;consult doctor;Migraña;Una migraña puede causar un dolor pulsátil intenso o una sensación de latido, generalmente en un lado de la cabeza. A menudo se acompaña de náuseas, vómitos y una sensibilidad extrema a la luz y el sonido. Los ataques de migraña pueden durar desde horas hasta días, y el dolor puede ser tan severo que interfiere con las actividades diarias.;Descansar en un lugar tranquilo: Permanecer en una habitación oscura y silenciosa durante un ataque de migraña para aliviar el dolor y reducir los síntomas.;Evitar la cafeína y otros estimulantes: Limitar el consumo de café y bebidas energéticas, ya que pueden empeorar los síntomas de la migraña.;Mantener un horario de sueño regular: Dormir y despertarse a la misma hora todos los días para reducir la frecuencia de los ataques de migraña.;Tomar medicamentos según lo recetado: Seguir el tratamiento médico con analgésicos y otros medicamentos para controlar los síntomas de la migraña.;Identificar y evitar desencadenantes: Mantener un registro de alimentos y actividades para identificar factores que desencadenan las migrañas y evitarlos.
Bronchial Asthma;Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.;switch to loose cloothing;take deep breaths;get away from trigger;seek help;Asma bronquial;El asma bronquial es una condición médica que causa que las vías respiratorias se hinchen y estrechen.;Evitar los desencadenantes del asma: Identificar y evitar desencadenantes como polvo, polen y humo para prevenir crisis asmáticas.;Usar inhaladores según lo recetado: Seguir las indicaciones médicas para el uso de inhaladores para controlar los síntomas del asma.;Mantener la actividad física: Realizar ejercicios moderados como caminar o nadar para mejorar la función pulmonar y reducir la frecuencia de ataques.;Mantener un ambiente libre de alérgenos: Mantener el hogar limpio y libre de polvo y alérgenos para reducir los desencadenantes del asma.;Tomar los medicamentos preventivos según sea necesario: Consultar al médico sobre medicamentos para prevenir ataques graves de asma.
Alcoholic hepatitis;Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol;stop alcohol consumption;consult doctor;medication;follow up;Hepatitis alcohólica;La hepatitis alcohólica es una condición inflamatoria del hígado causada por el consumo excesivo de alcohol durante un período prolongado. También se agrava por el consumo excesivo episódico de alcohol y el consumo continuo. Si desarrollas esta condición, debes dejar de consumir alcohol.;Dejar de consumir alcohol inmediatamente: Suspender por completo el consumo de alcohol para reducir el daño al hígado y mejorar la función hepática.;Mantener una dieta equilibrada: Consumir una dieta rica en nutrientes y baja en grasas para apoyar la función hepática y mejorar la salud general.;Consultar a un médico especializado: Realizar controles regulares con un hepatólogo para monitorear el estado del hígado y ajustar el tratamiento según sea necesario.;Participar en grupos de apoyo: Unirse a un grupo de apoyo para compartir experiencias y recibir orientación sobre cómo manejar la hepatitis alcohólica.;Recibir tratamiento nutricional: Trabajar con un nutricionista para diseñar una dieta que apoye la recuperación del hígado y mantenga un buen estado nutricional.
Jaundice;"Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it";drink plenty of water;consume milk thistle;eat fruits and high fiberous food;medication;Ictericia;"La ictericia es una coloración amarilla de la piel y las escleróticas (el blanco de los ojos) debido a niveles anormalmente altos del pigmento biliar bilirrubina en la sangre. El amarillamiento se extiende a otros tejidos y fluidos corporales. La ictericia solía llamarse ""morbus regius"" (mal del rey) por la creencia de que solo el toque de un rey podía curarla";Evitar el consumo de alcohol: Abstenerse de consumir alcohol para reducir la carga sobre el hígado y mejorar la función hepática.;Mantener una dieta baja en grasas: Consumir alimentos fáciles de digerir y bajos en grasas para facilitar la función hepática.;Realizar chequeos médicos regulares: Monitorear los niveles de bilirrubina y la función hepática para evaluar el progreso de la ictericia.;Evitar medicamentos hepatotóxicos: No tomar medicamentos que puedan afectar negativamente la función hepática sin la supervisión de un médico.;Consumir alimentos ricos en antioxidantes: Incluir frutas y verduras ricas en antioxidantes para apoyar la recuperación hepática.
Hepatitis E;A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.;stop alcohol consumption;rest;consult doctor;medication;Hepatitis E;La hepatitis E es una forma rara de inflamación del hígado causada por la infección con el virus de la hepatitis E (VHE). Se transmite a través de alimentos o bebidas manipulados por una persona infectada o mediante el suministro de agua contaminada en áreas donde la materia fecal puede entrar al agua. La hepatitis E no causa enfermedad hepática crónica.;Beber solo agua potable: Asegurarse de consumir agua embotellada o hervida para prevenir la infección por el virus de la hepatitis E.;Evitar alimentos crudos o mal cocidos: No consumir alimentos que puedan estar contaminados para reducir el riesgo de infección por hepatitis E.;Mantener una buena higiene de manos: Lavar las manos con agua y jabón antes de comer y después de ir al baño para prevenir la hepatitis E.;Descansar lo suficiente: Mantener reposo durante la fase aguda de la hepatitis E para permitir que el cuerpo combata la infección.;Evitar el contacto con personas infectadas: Mantener distancia de personas con hepatitis E para reducir el riesgo de contagio.
Dengue;an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. â€” called also breakbone fever, dengue fever.;drink papaya leaf juice;avoid fatty spicy food;keep mosquitos away;keep hydrated;Dengue;El dengue es una enfermedad infecciosa aguda causada por un flavivirus (especie virus del dengue del género Flavivirus), transmitida por mosquitos Aedes, y se caracteriza por dolor de cabeza, dolor articular severo y un sarpullido. También se le conoce como fiebre rompehuesos o fiebre del dengue.;Evitar la picadura de mosquitos: Usar repelente y dormir bajo mosquiteros para prevenir la transmisión del virus del dengue por mosquitos.;Mantenerse bien hidratado: Beber líquidos en abundancia para evitar la deshidratación, especialmente en caso de fiebre alta por dengue.;Evitar el uso de antiinflamatorios no esteroides: No tomar medicamentos como ibuprofeno, ya que pueden aumentar el riesgo de sangrado.;Consultar al médico ante síntomas graves: Buscar atención médica si se presentan síntomas graves como sangrado o dificultad para respirar.;Usar ropa de manga larga: Vestir ropa que cubra la piel para evitar las picaduras de mosquitos durante los brotes de dengue.
Hepatitis D;Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV).;consult doctor;medication;eat healthy;follow up;Hepatitis D;"La hepatitis D, también conocida como el virus de la hepatitis delta, es una infección que causa la inflamación del hígado. Esta inflamación puede afectar la función hepática y causar problemas hepáticos a largo plazo, como cicatrización del hígado y cáncer. La condición es causada por el virus de la hepatitis D (VHD).





";Vacunarse contra la hepatitis B: Recibir la vacuna contra la hepatitis B para reducir el riesgo de coinfección con hepatitis D.;Evitar compartir agujas: No compartir jeringas ni equipos médicos para prevenir la transmisión del virus de la hepatitis D.;Consultar regularmente al médico: Realizar controles periódicos para monitorear la función hepática y evaluar el riesgo de complicaciones.;Evitar el consumo de alcohol: No consumir alcohol, ya que puede empeorar el daño hepático en personas con hepatitis D.;Seguir un plan de tratamiento médico: Cumplir con el tratamiento antiviral y las indicaciones del médico para manejar la hepatitis D.
Heart attack;The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle.;call ambulance;chew or swallow asprin;keep calm;;Infarto cardíaco;El infarto de miocardio o ataque al corazón, ocurre cuando el músculo cardíaco muere debido a la falta de suministro de sangre. Esta pérdida de suministro sanguíneo es generalmente causada por una obstrucción completa de una arteria coronaria, que es una de las arterias que lleva sangre al músculo del corazón.;Consultar a un médico ante dolor en el pecho: Buscar atención médica inmediata si se presenta dolor intenso en el pecho o dificultad para respirar.;Tomar medicamentos según lo recetado: Seguir el tratamiento con medicamentos como la aspirina para reducir el riesgo de otro infarto.;Adoptar una dieta saludable para el corazón: Consumir alimentos bajos en grasas saturadas y altos en fibra para mejorar la salud cardiovascular.;Participar en un programa de rehabilitación cardíaca: Realizar ejercicios supervisados y recibir orientación sobre cambios en el estilo de vida.;Evitar el estrés: Practicar técnicas de relajación como yoga o meditación para reducir el estrés y mejorar la salud cardiovascular.
Pneumonia;Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe.;consult doctor;medication;rest;follow up;Neumonía;La neumonía es una infección en uno o ambos pulmones. Es causada por bacterias, virus y hongos. La infección provoca inflamación en los sacos de aire de los pulmones, llamados alvéolos. Los alvéolos se llenan de líquido o pus, lo que dificulta la respiración.;Descansar adecuadamente: Permitir que el cuerpo descanse lo suficiente para combatir la infección y acelerar la recuperación de la neumonía.;Mantener una buena higiene respiratoria: Cubrirse la boca al toser o estornudar para evitar la propagación de la infección a otras personas.;Tomar los antibióticos según la receta: Completar el tratamiento con antibióticos para evitar complicaciones o recaídas de la neumonía.;Evitar el consumo de tabaco: No fumar ni exponerse al humo, ya que puede empeorar la inflamación de los pulmones y retrasar la recuperación.;Mantener una dieta equilibrada: Comer alimentos ricos en nutrientes para ayudar al cuerpo a recuperarse y fortalecer el sistema inmunológico.
Arthritis;Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis.;exercise;use hot and cold therapy;try acupuncture;massage;Artritis;La artritis es la hinchazón y sensibilidad de una o más articulaciones. Los principales síntomas de la artritis son dolor y rigidez en las articulaciones, que generalmente empeoran con la edad. Los tipos más comunes de artritis son la osteoartritis y la artritis reumatoide.;Realizar ejercicios de bajo impacto: Participar en actividades como nadar o caminar para mantener la movilidad y reducir el dolor articular.;Aplicar calor o frío en las articulaciones: Utilizar compresas calientes o frías para aliviar el dolor y la inflamación de las articulaciones.;Mantener un peso saludable: Reducir el sobrepeso para disminuir la presión sobre las articulaciones y mejorar los síntomas de la artritis.;Consultar a un fisioterapeuta: Seguir un plan de ejercicios diseñado por un fisioterapeuta para mejorar la flexibilidad y la fuerza articular.;Tomar medicamentos antiinflamatorios según lo recetado: Usar antiinflamatorios no esteroides para reducir el dolor y la inflamación de la artritis.
Gastroenteritis;Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .;stop eating solid food for while;try taking small sips of water;rest;ease back into eating;Gastroenteritis;La gastroenteritis es una inflamación del tracto digestivo, particularmente del estómago y de los intestinos grueso y delgado. La gastroenteritis viral y bacteriana son infecciones intestinales asociadas con síntomas como diarrea, calambres abdominales, náuseas y vómitos.;Mantener una buena hidratación: Beber líquidos claros, como agua o soluciones electrolíticas, para prevenir la deshidratación.;Evitar alimentos grasosos: Limitar el consumo de alimentos que sean difíciles de digerir para no agravar los síntomas gastrointestinales.;Consumir alimentos suaves: Comer alimentos fáciles de digerir, como arroz y plátanos, para no irritar el estómago y los intestinos.;Evitar la cafeína y el alcohol: No consumir estas sustancias, ya que pueden deshidratar el cuerpo y empeorar los síntomas.;Lavar las manos con frecuencia: Mantener una buena higiene de manos para evitar la propagación de la infección a otras personas.
Tuberculosis;Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis.;cover mouth;consult doctor;medication;rest;Tuberculosis;La tuberculosis (TB) es una enfermedad infecciosa generalmente causada por la bacteria Mycobacterium tuberculosis (MTB). La tuberculosis afecta principalmente a los pulmones, pero también puede afectar otras partes del cuerpo. La mayoría de las infecciones no presentan síntomas, en cuyo caso se conoce como tuberculosis latente.;Tomar los medicamentos según lo indicado: Seguir el tratamiento completo con antibióticos para asegurar la eliminación del bacilo de la tuberculosis.;Mantener el aislamiento durante la fase activa: Evitar el contacto cercano con otras personas para reducir el riesgo de contagio.;Realizar controles médicos periódicos: Asistir a chequeos regulares para monitorear la respuesta al tratamiento y detectar complicaciones.;Mantener una buena nutrición: Consumir alimentos ricos en nutrientes para fortalecer el sistema inmunológico y ayudar al cuerpo a combatir la infección.;Evitar el contacto con personas vulnerables: No acercarse a personas con sistemas inmunológicos debilitados hasta completar el tratamiento.
